,Accession,Organism_Name,SRA_Accession,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,Host,Isolation_Source,BioSample,GenBank_Title
16,NC_077935,Infirmatus virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,Tampa 08,Orthobunyavirus achiotei,Orthobunyavirus,Peribunyaviridae,ssRNA(-),968,RefSeq,complete,,S,1.0,USA,USA,Ochlerotatus infirmatus,,,"Infirmatus virus segment S nucleocapsid protein (QK553_sSgp1) gene, complete cds"
17,NC_077936,Infirmatus virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,Tampa 08,Orthobunyavirus achiotei,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4495,RefSeq,complete,,M,1.0,USA,USA,Ochlerotatus infirmatus,,,"Infirmatus virus segment M polyprotein (QK553_sMgp1) gene, complete cds"
18,NC_077940,Abras virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,75V1183,Orthobunyavirus abrasense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4777,RefSeq,complete,,M,,Ecuador,Ecuador,Culex paracrybda,,,"Abras virus isolate 75V1183 segment M glycoprotein precursor (QK555_sMgp1) gene, complete cds"
19,NC_077941,Abras virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,75V1183,Orthobunyavirus abrasense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6901,RefSeq,complete,,L,,Ecuador,Ecuador,Culex paracrybda,,,"Abras virus isolate 75V1183 segment L RNA-dependent RNA polymerase (QK555_sLgp1) gene, complete cds"
20,NC_077942,Abras virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,75V1183,Orthobunyavirus abrasense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1073,RefSeq,complete,,S,,Ecuador,Ecuador,Culex paracrybda,,,"Abras virus isolate 75V1183 segment S NSs (QK555_sSgp1) and nucleocapsid (QK555_sSgp2) genes, complete cds"
21,NC_077946,Shark River virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,64U80,Orthobunyavirus squalofluvii,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6824,RefSeq,complete,,L,,Mexico,Mexico,Cricetinae,,,"Shark River virus isolate 64U80 segment L RNA-dependent RNA polymerase (QK557_sLgp1) gene, complete cds"
22,NC_077947,Shark River virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,64U80,Orthobunyavirus squalofluvii,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4661,RefSeq,complete,,M,,Mexico,Mexico,Cricetinae,,,"Shark River virus isolate 64U80 segment M glycoprotein precursor (QK557_sMgp1) gene, complete cds"
23,NC_077948,Shark River virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,64U80,Orthobunyavirus squalofluvii,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1019,RefSeq,complete,,S,,Mexico,Mexico,Cricetinae,,,"Shark River virus isolate 64U80 segment S NSs (QK557_sSgp1) and nucleocapsid (QK557_sSgp2) genes, complete cds"
24,NC_077970,Shokwe virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4427,RefSeq,complete,,M,1.0,"South Africa: Ndumu, Natal, Shokwe pan",South Africa,Aedes cumminsii,,,"Shokwe virus strain SAAr 4042 segment M, complete sequence"
25,NC_077971,Shokwe virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),943,RefSeq,complete,,S,1.0,"South Africa: Ndumu, Natal, Shokwe pan",South Africa,Aedes cumminsii,,,"Shokwe virus strain SAAr 4042 segment S, complete sequence"
26,NC_077972,Shokwe virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6858,RefSeq,complete,,L,1.0,"South Africa: Ndumu, Natal, Shokwe pan",South Africa,Aedes cumminsii,,,"Shokwe virus strain SAAr 4042 segment L, complete sequence"
27,NC_077973,Apeu virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn848,Orthobunyavirus apeuense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4534,RefSeq,complete,,M,1.0,Brazil,Brazil,Sapajus apella,,,"Apeu virus isolate BeAn848 segment M, complete sequence"
28,NC_077974,Apeu virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn848,Orthobunyavirus apeuense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6935,RefSeq,complete,,L,1.0,Brazil,Brazil,Sapajus apella,,,"Apeu virus isolate BeAn848 segment L, complete sequence"
29,NC_077975,Apeu virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn848,Orthobunyavirus apeuense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1082,RefSeq,complete,,S,1.0,Brazil,Brazil,Sapajus apella,,,"Apeu virus isolate BeAn848 segment S, complete sequence"
30,NC_077979,Nepuyo virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn10709,Orthobunyavirus maritubaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6960,RefSeq,complete,,L,1.0,Brazil,Brazil,Mus,,,"Nepuyo virus isolate BeAn10709 segment L, complete sequence"
31,NC_077980,Nepuyo virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn10709,Orthobunyavirus maritubaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1003,RefSeq,complete,,S,1.0,Brazil,Brazil,Mus,,,"Nepuyo virus isolate BeAn10709 segment S, complete sequence"
32,NC_077981,Nepuyo virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn10709,Orthobunyavirus maritubaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4556,RefSeq,complete,,M,1.0,Brazil,Brazil,Mus,,,"Nepuyo virus isolate BeAn10709 segment M, complete sequence"
33,NC_077982,Bruconha virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,77V74814,Orthobunyavirus bruconhaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1034,RefSeq,complete,,S,,Brazil,Brazil,Mus,,,"Bruconha virus isolate 77V74814 nonstructural protein NSs and nucleoprotein genes, complete cds"
34,NC_077983,Bruconha virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,77V74814,Orthobunyavirus bruconhaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),7006,RefSeq,complete,,L,,Brazil,Brazil,Mus,,,"Bruconha virus isolate 77V74814 RNA-dependent RNA polymerase gene, complete cds"
35,NC_077984,Bruconha virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,77V74814,Orthobunyavirus bruconhaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4685,RefSeq,complete,,M,,Brazil,Brazil,Mus,,,"Bruconha virus isolate 77V74814 polyprotein gene, complete cds"
36,NC_077985,Anopheles A virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,original,Orthobunyavirus horizonteense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),989,RefSeq,complete,,S,,Colombia: Villavicencio Meta,Colombia,Anopheles boliviensis,,,"Anopheles A virus isolate original segment S, complete sequence"
37,NC_077986,Anopheles A virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,original,Orthobunyavirus horizonteense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6881,RefSeq,complete,,L,,Colombia: Villavicencio Meta,Colombia,Anopheles boliviensis,,,"Anopheles A virus isolate original segment L, complete sequence"
38,NC_077987,Anopheles A virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,original,Orthobunyavirus horizonteense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4337,RefSeq,complete,,M,,Colombia: Villavicencio Meta,Colombia,Anopheles boliviensis,,,"Anopheles A virus isolate original segment M, complete sequence"
39,NC_078003,Northway virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6862,RefSeq,complete,,L,1.0,"USA: Alaska, Northway",USA,Aedes sp.,,,"Northway virus strain 0234 segment L, complete sequence"
40,NC_078004,Northway virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),951,RefSeq,complete,,S,,USA,USA,Aedes,,,"Northway virus strain 0234 segment S, complete sequence"
41,NC_078005,Northway virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4540,RefSeq,complete,,M,,USA,USA,Aedes,,,"Northway virus strain 0234 segment M, complete sequence"
42,NC_078143,Gossas virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,DakAnD 401,Orthonairovirus gossasense,Orthonairovirus,Nairoviridae,ssRNA(-),1608,RefSeq,complete,,S,,Senegal,Senegal,Tadarida,,,"Gossas virus isolate DakAnD 401 segment S, complete sequence"
43,NC_078144,Gossas virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,DakAnD 401,Orthonairovirus gossasense,Orthonairovirus,Nairoviridae,ssRNA(-),5941,RefSeq,complete,,M,,Senegal,Senegal,Tadarida,,,"Gossas virus isolate DakAnD 401 segment M, complete sequence"
44,NC_078145,Gossas virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,DakAnD 401,Orthonairovirus gossasense,Orthonairovirus,Nairoviridae,ssRNA(-),12577,RefSeq,complete,,L,,Senegal,Senegal,Tadarida,,,"Gossas virus isolate DakAnD 401 segment L, complete sequence"
45,NC_078320,Orthonairovirus tomdiense,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,TT1,Orthonairovirus tomdiense,Orthonairovirus,Nairoviridae,ssRNA(-),11943,RefSeq,complete,,L,1.0,Turkey,Turkey,Hyalomma aegyptium,,,"Tamdy orthonairovirus isolate TT1 RNA-dependent RNA polymerase (QK671_sLgp1) gene, complete cds"
46,NC_078321,Orthonairovirus tomdiense,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,TT1,Orthonairovirus tomdiense,Orthonairovirus,Nairoviridae,ssRNA(-),4077,RefSeq,complete,,M,1.0,Turkey,Turkey,Hyalomma aegyptium,,,"Tamdy orthonairovirus isolate TT1 glycoprotein precursor (QK671_sMgp1) gene, complete cds"
47,NC_078322,Orthonairovirus tomdiense,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,TT1,Orthonairovirus tomdiense,Orthonairovirus,Nairoviridae,ssRNA(-),1452,RefSeq,complete,,S,1.0,Turkey,Turkey,Hyalomma aegyptium,,,"Tamdy orthonairovirus isolate TT1 nucleocapsid protein (QK671_sSgp1) gene, complete cds"
48,NC_055922,Pacific coast tick nairovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,Docc2011cons,Pacific coast tick nairovirus,Orthonairovirus,Nairoviridae,ssRNA(-),4453,RefSeq,complete,,L,,USA,USA,Dermacentor occidentalis,,,"Pacific coast tick nairovirus isolate Docc2011cons segment L, complete sequence"
49,NC_055940,Clo Mor virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,52301-14,Orthonairovirus sakhalinense,Orthonairovirus,Nairoviridae,ssRNA(-),1662,RefSeq,complete,,S,1.0,USA: Texas,USA,Argas cooleyi,,,"UNVERIFIED: Clo Mor virus isolate 52301-14 segment S, complete sequence"
50,NC_077216,Pepper yellows virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Pepper yellows virus,Polerovirus,Solemoviridae,ssRNA(+),6096,RefSeq,complete,,,,Greece,Greece,Capsicum annuum,,SAMEA3904774,"Pepper yellows virus genome assembly, complete genome: monopartite"
51,NC_077669,Orthohantavirus sinnombreense,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,NM R11,Orthohantavirus sinnombreense,Orthohantavirus,Hantaviridae,ssRNA(-),2060,RefSeq,complete,,,1.0,,,Peromyscus maniculatus,,,"Sin Nombre virus (NM R11) RNA S segment encoding nucleocapsid protein (N protein), complete cds"
52,NC_077670,Orthohantavirus sinnombreense,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,NM R11,Orthohantavirus sinnombreense,Orthohantavirus,Hantaviridae,ssRNA(-),3696,RefSeq,complete,,,1.0,,,Peromyscus maniculatus,,,"Sin Nombre virus (NM R11) RNA M segment encoding surface glycoproteins (G1 and G2 proteins), complete cds"
53,NC_077671,Orthohantavirus sinnombreense,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,NM R11,Orthohantavirus sinnombreense,Orthohantavirus,Hantaviridae,ssRNA(-),6562,RefSeq,complete,,,1.0,,,Peromyscus maniculatus,,,"Sin Nombre virus (NM R11) RNA L segment encoding RNA polymerase (L protein), complete cds"
54,NC_077674,Gentian mosaic virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,N-1,Fabavirus gentianae,Fabavirus,Secoviridae,ssRNA(+),3372,RefSeq,complete,,,1.0,,,,,,"Gentian mosaic virus RNA2 gene for polyprotein, complete cds"
55,NC_077675,Gentian mosaic virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,N-1,Fabavirus gentianae,Fabavirus,Secoviridae,ssRNA(+),5836,RefSeq,complete,,,1.0,,,,,,"Gentian mosaic virus RNA1 gene for polyprotein, complete cds"
56,NC_077695,Cannabis cryptic virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,Fedora17,Cannabis cryptic virus,Betapartitivirus,Partitiviridae,dsRNA,2290,RefSeq,complete,,RNA2,1.0,Germany,Germany,Cannabis sativa,,,"Cannabis cryptic virus isolate Fedora17 putative coat protein gene, complete cds"
57,NC_077696,Cannabis cryptic virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,Fedora17,Cannabis cryptic virus,Betapartitivirus,Partitiviridae,dsRNA,2420,RefSeq,complete,,RNA1,1.0,Germany,Germany,Cannabis sativa,,,"Cannabis cryptic virus isolate Fedora17 putative RNA polymerase gene, complete cds"
58,NC_077721,Maize rough dwarf virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,Fijivirus,Spinareoviridae,dsRNA,2193,RefSeq,complete,,,,France,France,Zea mays,,,"Maize rough dwarf virus nonstructural protein P7-1 (QK487_s7gp1) and nonstructural protein P7-2 (QK487_s7gp2) genes, complete cds"
59,NC_077722,Maize rough dwarf virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,Fijivirus,Spinareoviridae,dsRNA,1900,RefSeq,complete,,,,France,France,Zea mays,,,"Maize rough dwarf virus nonstructural protein P9-1 (QK487_s9gp1) and nonstructural protein P9-2 (QK487_s9gp2) genes, complete cds"
60,NC_077723,Maize rough dwarf virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,Fijivirus,Spinareoviridae,dsRNA,1936,RefSeq,complete,,,,France,France,Zea mays,,,"Maize rough dwarf virus minor core structural protein P8 (QK487_s8gp1) gene, complete cds"
61,NC_077724,Maize rough dwarf virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,Fijivirus,Spinareoviridae,dsRNA,1802,RefSeq,complete,,,,France,France,Zea mays,,,"Maize rough dwarf virus major outer structural protein P10 (QK487_s10gp1) gene, complete cds"
62,NC_077725,Maize rough dwarf virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,Fijivirus,Spinareoviridae,dsRNA,3164,RefSeq,complete,,,,France,France,Zea mays,,,"Maize rough dwarf virus minor structural protein P5-1 (QK487_s5gp1) and minor structural protein P5-2 (QK487_s5gp2) genes, complete cds"
63,NC_077726,Maize rough dwarf virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,Fijivirus,Spinareoviridae,dsRNA,4502,RefSeq,complete,,,,France,France,Zea mays,,,"Maize rough dwarf virus putative RNA dependent RNA polymerase (QK487_s1gp1) gene, complete cds"
64,NC_077727,Maize rough dwarf virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,Fijivirus,Spinareoviridae,dsRNA,3573,RefSeq,complete,,,,France,France,Zea mays,,,"Maize rough dwarf virus structural protein P3 (QK487_s3gp1) gene, complete cds"
65,NC_077728,Maize rough dwarf virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,Fijivirus,Spinareoviridae,dsRNA,3617,RefSeq,complete,,,,France,France,Zea mays,,,"Maize rough dwarf virus structural protein P4 (QK487_s4gp1) gene, complete cds"
66,NC_077729,Maize rough dwarf virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,Fijivirus,Spinareoviridae,dsRNA,3813,RefSeq,complete,,,,France,France,Zea mays,,,"Maize rough dwarf virus structural protein P2 (QK487_s2gp1) gene, complete cds"
67,NC_077730,Maize rough dwarf virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,Fijivirus,Spinareoviridae,dsRNA,2645,RefSeq,complete,,,,France,France,Zea mays,,,"Maize rough dwarf virus nonstructural protein P6 (QK487_s6gp1) gene, complete cds"
68,NC_077751,Avian orthoreovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,Spinareoviridae,dsRNA,2039,RefSeq,complete,,M3,,Japan:Wakayama,Japan,Hypsipetes amaurotis,abdominal cavity,,"Avian orthoreovirus genomic RNA, segment M3, complete sequence, strain: Pycno-1"
69,NC_077752,Avian orthoreovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,Spinareoviridae,dsRNA,1325,RefSeq,complete,,S2,,Japan:Wakayama,Japan,Hypsipetes amaurotis,abdominal cavity,,"Avian orthoreovirus genomic RNA, segment S2, complete sequence, strain: Pycno-1"
70,NC_077753,Avian orthoreovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,Spinareoviridae,dsRNA,4011,RefSeq,complete,,L1,,Japan:Wakayama,Japan,Hypsipetes amaurotis,abdominal cavity,,"Avian orthoreovirus genomic RNA, segment L1, complete sequence, strain: Pycno-1"
71,NC_077754,Avian orthoreovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,Spinareoviridae,dsRNA,3829,RefSeq,complete,,L2,,Japan:Wakayama,Japan,Hypsipetes amaurotis,abdominal cavity,,"Avian orthoreovirus genomic RNA, segment L2, complete sequence, strain: Pycno-1"
72,NC_077755,Avian orthoreovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,Spinareoviridae,dsRNA,1201,RefSeq,complete,,S4,,Japan:Wakayama,Japan,Hypsipetes amaurotis,abdominal cavity,,"Avian orthoreovirus genomic RNA, segment S4, complete sequence, strain: Pycno-1"
73,NC_077756,Avian orthoreovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,Spinareoviridae,dsRNA,3903,RefSeq,complete,,L3,,Japan:Wakayama,Japan,Hypsipetes amaurotis,abdominal cavity,,"Avian orthoreovirus genomic RNA, segment L3, complete sequence, strain: Pycno-1"
74,NC_077757,Avian orthoreovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,Spinareoviridae,dsRNA,2287,RefSeq,complete,,M1,,Japan:Wakayama,Japan,Hypsipetes amaurotis,abdominal cavity,,"Avian orthoreovirus genomic RNA, segment M1, complete sequence, strain: Pycno-1"
75,NC_077758,Avian orthoreovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,Spinareoviridae,dsRNA,2156,RefSeq,complete,,M2,,Japan:Wakayama,Japan,Hypsipetes amaurotis,abdominal cavity,,"Avian orthoreovirus genomic RNA, segment M2, complete sequence, strain: Pycno-1"
76,NC_077759,Avian orthoreovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,Spinareoviridae,dsRNA,1637,RefSeq,complete,,S1,,Japan:Wakayama,Japan,Hypsipetes amaurotis,abdominal cavity,,"Avian orthoreovirus genomic RNA, segment S1, complete sequence, strain: Pycno-1"
77,NC_077760,Avian orthoreovirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,Spinareoviridae,dsRNA,1205,RefSeq,complete,,S3,,Japan:Wakayama,Japan,Hypsipetes amaurotis,abdominal cavity,,"Avian orthoreovirus genomic RNA, segment S3, complete sequence, strain: Pycno-1"
78,NC_077761,Wenzhou crab virus 2,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Chuvivirus canceris,Chuvivirus,Chuviridae,ssRNA(-),4698,RefSeq,complete,,2,1.0,China,China,Charybdis japonica,,,"Wenzhou Crab Virus 2 strain ZCX13 segment 2, complete sequence"
79,NC_077762,Wenzhou crab virus 2,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Chuvivirus canceris,Chuvivirus,Chuviridae,ssRNA(-),6959,RefSeq,complete,,1,1.0,China,China,Charybdis japonica,,,"Wenzhou Crab Virus 2 strain ZCX13 segment 1, complete sequence"
80,NC_077763,Lishi spider virus 1,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Scarabeuvirus lishiense,Scarabeuvirus,Chuviridae,ssRNA(-),7051,RefSeq,complete,,1,1.0,China,China,Parasteatoda tepidariorum,,,"Lishi Spider Virus 1 strain LSZZ11 segment 1, complete sequence"
81,NC_077764,Lishi spider virus 1,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,,Scarabeuvirus lishiense,Scarabeuvirus,Chuviridae,ssRNA(-),4426,RefSeq,complete,,2,1.0,China,China,Parasteatoda tepidariorum,,,"Lishi Spider Virus 1 strain LSZZ11 segment 2, complete sequence"
